2026-06-23 11:06:56 | VIEW_HISTORY | hany (ID 1)
2026-06-23 11:07:11 | SEARCH_PATIENT | hany
2026-06-23 11:07:11 | VIEW_HISTORY | hany (ID 1)
2026-06-23 11:07:13 | SEARCH_PATIENT | ha
2026-06-23 11:07:13 | VIEW_HISTORY | hany (ID 1)
2026-06-23 11:07:17 | SEARCH_PATIENT | 3
2026-06-23 11:07:17 | VIEW_HISTORY | hany (ID 1)
2026-06-23 11:07:21 | SEARCH_PATIENT | ha
2026-06-23 11:07:21 | VIEW_HISTORY | hany (ID 1)
2026-06-23 11:07:24 | SEARCH_PATIENT | 3
2026-06-23 11:07:24 | VIEW_HISTORY | hany (ID 1)
2026-06-23 11:07:31 | SEARCH_PATIENT | ny
2026-06-23 11:07:31 | VIEW_HISTORY | hany (ID 1)
2026-06-23 11:08:01 | SEARCH_PATIENT | ny
2026-06-23 11:08:01 | VIEW_HISTORY | hany (ID 1)
2026-06-23 11:08:03 | SEARCH_PATIENT | ny
2026-06-23 11:08:03 | VIEW_HISTORY | hany (ID 1)
2026-06-23 11:08:03 | ADD_PATIENT | mohamed
2026-06-23 11:08:03 | SEARCH_PATIENT | ny
2026-06-23 11:08:03 | VIEW_HISTORY | hany (ID 1)
2026-06-23 11:08:17 | VIEW_HISTORY | hany (ID 1)
2026-06-23 11:08:22 | VIEW_HISTORY | hany (ID 1)
2026-06-23 11:08:26 | VIEW_HISTORY | hany (ID 1)
2026-06-23 11:08:29 | VIEW_HISTORY | hany (ID 1)
2026-06-23 11:08:31 | VIEW_HISTORY | hany (ID 1)
2026-06-23 11:08:31 | ADD_VISIT | mohamed (ID 4)
2026-06-23 11:08:31 | VIEW_HISTORY | hany (ID 1)
2026-06-23 11:08:44 | VIEW_HISTORY | mohamed (ID 4)
2026-06-23 11:29:24 | ADD_PATIENT | gog
2026-06-23 11:29:28 | SEARCH_PATIENT | og
2026-06-23 11:29:28 | VIEW_HISTORY | hany (ID 1)
2026-06-23 11:29:36 | SEARCH_PATIENT | og
2026-06-23 11:29:36 | VIEW_HISTORY | hany (ID 1)
2026-06-23 11:29:38 | SEARCH_PATIENT | og
2026-06-23 11:29:38 | VIEW_HISTORY | hany (ID 1)
2026-06-23 11:29:42 | SEARCH_PATIENT | og
2026-06-23 11:29:42 | VIEW_HISTORY | hany (ID 1)
2026-06-23 11:29:45 | SEARCH_PATIENT | og
2026-06-23 11:29:45 | ADD_VISIT | gog (ID 5)
2026-06-23 11:29:45 | VIEW_HISTORY | hany (ID 1)
2026-06-23 11:29:52 | SEARCH_PATIENT | og
2026-06-23 11:29:52 | VIEW_HISTORY | gog (ID 5)
2026-06-23 11:30:09 | SEARCH_PATIENT | og
2026-06-23 11:30:09 | VIEW_HISTORY | hany (ID 1)
